day,observance,sixty_day_psalter_ep,first_lesson,second_lesson
1,"","78:19-40","Ezek 6","Acts 8:4-25"
2,"","80","Ezek 7","Acts 8:26-end"
3,"","83","Ezek 8","Acts 9:1-31"
4,"","85","Ezek 9","Acts 9:32-end"
5,"","88","Ezek 10","Acts 10:1-23"
6,"","89:19-51","Ezek 11","Acts 10:24-end"
7,"","91","Ezek 12","Acts 11:1-18"
8,"","94","Ezek 13","Acts 11:19-end"
9,"","97, 98","Ezek 14","Acts 12:1-24"
10,"","102","Ezek 15","Acts 12:25-13:12"
11,"Barnabas","104","Ezek 16 †1-15,33-47,59-63","Acts 13:13-43"
12,"","105:23-44","Ezek 17","Acts 13:44-14:7"
13,"","106:19-46","Ezek 18","Acts 14:8-end"
14,"","107:23-43","Ezek 33 †1-23,30-33","Acts 15:1-21"
15,"","109","Ezek 34","Acts 15:22-35"
16,"","113, 114","Ezek 35","Acts 15:36-16:5"
17,"","116, 117","Ezek 36 †16-37","Acts 16:6-end"
18,"","119:25-48","Ezek 37","Acts 17:1-15"
19,"","119:73-88","Ezek 40 †1-5,17-19,35-49","Acts 17:16-end"
20,"","119:105-128","Ezek 43","Acts 18:1-23"
21,"","119:153-176","Ezek 47","Acts 18:24-19:7"
22,"","120, 121","Dan 1","Acts 19:8-20"
23,"","124, 125, 126","Dan 2 †1-14,25-28,31-45","Acts 19:21-end"
24,"Nat. Bap.","129, 130, 131","Dan 3","Acts 20:1-16"
25,"","134, 135","Dan 4 †1-9,19-35","Acts 20:17-end"
26,"","137, 138","Dan 5","Acts 21:1-16"
27,"","141, 142","Dan 6","Acts 21:17-36"
28,"","143","Dan 7","Acts 21:37-22:22"
29,"Pet. & Paul","145","Dan 8","Acts 22:23-23:11"
30,"","147","Dan 9","Acts 23:12-end"
